id,Geographic Area Name,% over 50 percent
36061003700,37,16.1
36061008601,86.01,20.4
36061004400,44,17.7
36061008603,86.03,27.7
36061008602,86.02,0
36081013800,138,30.7
36081014300,143,23.9
36081015900,159,35.4
36081016800,168,33
36081016900,169,22.2
36081017100,171,0
36081018401,184.01,13.7
36061016500,165,12.6
36061027900,279,28.2
36061011203,112.03,30.5
36061018400,184,25.2
36005042902,429.02,46.9
36005033000,330,33.3
36005035800,358,34.4
36005037100,371,24.8
36005038500,385,43
36005042100,421,28.9
36005045101,451.01,11.9
36005011800,118,10.2
36005020400,204,29.5
36005024800,248,19.9
36005040800,408,45.8
36005048400,484,22.1
36005024700,247,17.2
36005026602,266.02,30.7
36005036400,364,25.9
36005044902,449.02,21.8
36005022300,223,43.2
36005025400,254,32.7
36005029600,296,20.5
36005037600,376,32
36005002701,27.01,19.3
36005006500,65,30
36005015700,157,32.2
36005000100,1,0
36005006700,67,36.4
36005040702,407.02,27.2
36005038000,380,55.3
36005002500,25,27.8
36005006100,61,28.4
36005022701,227.01,37.1
36047029500,295,31.8
36047030700,307,27
36047030900,309,29.7
36047031702,317.02,19.9
36047032700,327,27.6
36047033600,336,22.7
36047034000,340,23.3
36047034300,343,19.6
36047038800,388,35.3
36047039500,395,25.4
36047039900,399,32.9
36047040200,402,41.7
36047040900,409,33.4
36047041600,416,33.3
36047040000,400,34.9
36047042300,423,23.6
36047042400,424,18.3
36047044200,442,33.7
36047045200,452,49.5
36047046202,462.02,44.1
36047047800,478,28.9
36047048000,480,38
36047048100,481,19.9
36047050600,506,35.8
36047051700,517,20.5
36047051800,518,34.2
36047052000,520,32.4
36047053200,532,32.8
36047054600,546,38.9
36047014200,142,29.5
36047043700,437,35.6
36047043900,439,40.5
36047044100,441,33.3
36047044400,444,27.5
36047045400,454,35.6
36047046201,462.01,33.2
36047046400,464,47.4
36047050000,500,12.7
36047077200,772,16.8
36047075600,756,11.8
36047072200,722,28.6
36047073400,734,21.9
36047074400,744,7.4
36047078600,786,25.2
36047082400,824,35.4
36047083800,838,26.6
36061003601,36.01,19
36061004500,45,5.8
36061005502,55.02,10.1
36061005600,56,20.8
36061006200,62,22
36061007700,77,18.3
36061008000,80,28.9
36061009000,90,18.5
36047065000,650,16.5
36047058800,588,19.4
36047059300,593,21.3
36047064000,640,50
36047068800,688,19.1
36047075200,752,19.2
36047076400,764,34.9
36047077400,774,20.6
36047078200,782,16.1
36047079000,790,31
36047079200,792,27.3
36047079400,794,19.7
36047083600,836,56.3
36047085800,858,29.6
36047086200,862,46.7
36047088000,880,28.9
36047093800,938,23.7
36047089800,898,45.7
36047091800,918,35.1
36047092000,920,62.3
36047098200,982,24
36047094401,944.01,24
36047096600,966,25.8
36047100800,1008,41.1
36047116400,1164,29.7
36047116800,1168,43.1
36047118202,1182.02,30.9
36047119000,1190,43.5
36047119600,1196,40.2
36047120200,1202,42.5
36047039700,397,35.7
36047039800,398,33.8
36047040500,405,30.3
36047040700,407,0
36047041000,410,35.3
36047042600,426,29.6
36047016900,169,21.8
36047036400,364,27.6
36047037300,373,24.6
36047008000,80,27
36047008800,88,15.3
36047009200,92,40.3
36047009800,98,35.6
36047010100,101,26.1
36047012801,128.01,38.2
36047013100,131,13.8
36047013500,135,24.3
36047014000,140,19.7
36047014100,141,26.3
36047017700,177,0
36047018100,181,16.3
36047018600,186,35.7
36047019300,193,34.8
36047035400,354,17.1
36047087401,874.01,37.6
36047088400,884,31.5
36047089600,896,45.6
36047090800,908,40.9
36047093400,934,20.8
36047095400,954,26.9
36047096800,968,13.6
36047097000,970,13.2
36047099400,994,19.1
36047100400,1004,32.4
36047020100,201,13
36047118000,1180,0
36047121000,1210,22.7
36047019700,197,20.3
36047021500,215,20.9
36047027200,272,35.1
36047035500,355,31.6
36047036502,365.02,33.5
36047039300,393,26.7
36081004200,42,38.5
36081004500,45,29.4
36081004700,47,13.5
36081006100,61,20.3
36081007700,77,26.3
36047117400,1174,29.6
36047117602,1176.02,36.6
36047122000,1220,40.3
36047031300,313,23.3
36047101400,1014,24.4
36047111800,1118,33.4
36047115800,1158,40.4
36047040300,403,41.7
36047042800,428,28.4
36047047000,470,52.3
36047019800,198,19.8
36047029700,297,33.5
36047033500,335,50.5
36047039100,391,33.5
36047086800,868,35.4
36047091600,916,43.8
36047101200,1012,20.3
36047007200,72,43
36047010000,100,27.1
36047013800,138,23.3
36047028300,283,34.7
36047036900,369,28.7
36047100600,1006,44.4
36047116000,1160,26
36047119200,1192,35.7
36047019600,196,42.3
36047023400,234,56.9
36047026500,265,31.1
36047040600,406,58.9
36047047600,476,47.5
36047054200,542,33.9
36047021900,219,28.5
36047040100,401,41.7
36047025300,253,33.4
36047116200,1162,48.5
36047116600,1166,33
36047033100,331,36.4
36047035700,357,42.5
36085023900,239,57.8
36085024800,248,30.9
36085002100,21,34.8
36081006900,69,28.2
36081007500,75,11.4
36081026200,262,33.9
36081059300,593,23
36081059800,598,37.4
36081060000,600,0
36081061601,616.01,28.6
36081062000,620,100
36081062500,625,16.8
36081063500,635,30.8
36081065600,656,45.8
36081066000,660,41
36081068300,683,45.2
36081071600,716,0
36081065702,657.02,20.5
36081068000,680,11.5
36081072100,721,34.5
36081077903,779.03,25.4
36081084602,846.02,55.6
36081016600,166,36
36081015000,150,15.8
36081015300,153,32.9
36081015700,157,20.4
36081017000,170,31.6
36081064500,645,29.7
36081066100,661,23.3
36081066400,664,22.8
36081069000,690,32.5
36081069702,697.02,32.6
36081071900,719,42.6
36081076902,769.02,31.4
36081079000,790,34.9
36081081800,818,25.3
36081092500,925,30.8
36081083800,838,39
36081084000,840,43.7
36081091800,918,0
36081008700,87,23
36081009400,94,32.1
36081009900,99,0
36081010100,101,20.5
36081029500,295,19.9
36081058000,580,25
36081054800,548,35.5
36081055200,552,42.3
36081056600,566,27.6
36081059000,590,37.8
36047117000,1170,48
36047117201,1172.01,33.1
36061023600,236,13.6
36061016900,169,16.6
36061017100,171,23.7
36061017900,179,24.6
36061018200,182,18.2
36061018300,183,30.6
36047090000,900,37.7
36047099600,996,15.2
36081003300,33,29.8
36081006201,62.01,43.8
36081006202,62.02,36.1
36081006501,65.01,21
36081006502,65.02,19.5
36081008500,85,43.1
36081010701,107.01,0
36081012301,123.01,20.4
36081012500,125,21.5
36081015801,158.01,36.9
36081015802,158.02,27.8
36081018101,181.01,24.9
36081018102,181.02,20.3
36081018501,185.01,32.1
36081018502,185.02,19.5
36081019400,194,14.3
36081019900,199,34
36081020500,205,21.7
36081025301,253.01,22.6
36081025302,253.02,15.1
36081025400,254,32.1
36081026901,269.01,41.8
36081026902,269.02,36
36081029400,294,22.4
36081030600,306,45.5
36081030903,309.03,39.8
36081030904,309.04,30.7
36081035700,357,26.8
36081038301,383.01,0
36081038302,383.02,0
36081042400,424,6.8
36081043701,437.01,37.7
36081043702,437.02,40.2
36081044301,443.01,28.8
36081044302,443.02,17.8
36081044400,444,33.7
36081053100,531,19.9
36081053401,534.01,4.5
36081053601,536.01,11.6
36081058200,582,19.5
36081060701,607.01,0
36081065501,655.01,0
36081061301,613.01,17.6
36081061302,613.02,0
36081062200,622,13.4
36081065703,657.03,25.6
36081066501,665.01,30.6
36081066701,667.01,44.3
36081067100,671,27.3
36081071303,713.03,15.1
36081071304,713.04,29.4
36081071305,713.05,26.1
36081071306,713.06,20
36081071701,717.01,41.3
36081071702,717.02,42.6
36081072300,723,0
36081074900,749,28.6
36081075701,757.01,33.1
36081075702,757.02,41.9
36081077906,779.06,32.1
36081077907,779.07,38
36047000501,5.01,12.3
36047000502,5.02,17
36047001500,15,22.1
36047004400,44,31.2
36047005300,53,26.4
36047016600,166,25
36047011900,119,22.4
36047012600,126,31
36047015200,152,30.6
36047021100,211,21.7
36047027100,271,26.3
36047030500,305,22.7
36047034800,348,30
36047035601,356.01,36.7
36047035602,356.02,43.6
36047037401,374.01,43.6
36047037402,374.02,43.1
36081077908,779.08,36.5
36081079701,797.01,38.4
36081079702,797.02,35.4
36081084900,849,49.4
36081086900,869,44
36081093401,934.01,17
36081093402,934.02,14.2
36081095400,954,34.4
36081097203,972.03,9.5
36081097204,972.04,14.8
36081099703,997.03,15.1
36081099704,997.04,20.2
36081099705,997.05,0
36081099801,998.01,18
36081099802,998.02,17.2
36081100801,1008.01,34.3
36081100802,1008.02,29.7
36081108500,1085,15.7
36081109300,1093,42.4
36081127700,1277,0
36081129103,1291.03,38.7
36085017009,170.09,15.4
36085020700,207,38.9
36085020803,208.03,19
36085022300,223,40.7
36085024700,247,35.8
36085025100,251,18.4
36085029104,291.04,24.5
36085004700,47,14.9
36085005000,50,28.1
36085007400,74,16.5
36085009601,96.01,45.6
36085009602,96.02,13.9
36085012200,122,33.3
36085018702,187.02,26.1
36085013203,132.03,17.9
36085015601,156.01,14
36085018701,187.01,45
36085018901,189.01,7.5
36085021300,213,33.6
36085000700,7,26.2
36085000300,3,31
36085000900,9,41.3
36085002700,27,46.8
36085008100,81,29.3
36085014604,146.04,28.6
36085014606,146.06,10.7
36085017005,170.05,22.4
36085017300,173,37.4
36085017600,176,25
36085020801,208.01,35
36085022600,226,4.3
36085023100,231,25.2
36085031902,319.02,39.6
36085013201,132.01,30.9
36085014100,141,13.9
36085000600,6,15.9
36085001800,18,18.8
36085011201,112.01,50.2
36085003300,33,25
36085007000,70,31.5
36085010500,105,41.9
36085015602,156.02,0
36085017700,177,23.5
36085027301,273.01,33.6
36085027704,277.04,14.6
36085032300,323,38.3
36085004000,40,31.2
36085012804,128.04,31
36085013302,133.02,40
36085015400,154,0
36085016901,169.01,49.9
36085017007,170.07,19.2
36085027302,273.02,25.7
36085027702,277.02,30.2
36085027900,279,33
36085030302,303.02,39.2
36085014605,146.05,30.3
36085017008,170.08,23.7
36047015900,159,13.2
36047016700,167,9.5
36047003100,31,17
36047004300,43,20.9
36047005100,51,19.5
36047006900,69,6.5
36047044800,448,41
36047045000,450,67.4
36047045800,458,44.4
36047044000,440,40.2
36047042100,421,36.1
36047042500,425,18.7
36047043200,432,25.9
36047044700,447,37.2
36047045600,456,34.9
36047092200,922,28.9
36047094402,944.02,16.6
36047096400,964,19.4
36047101600,1016,30.8
36047101800,1018,11.5
36047102000,1020,32.9
36047107800,1078,39.3
36047110600,1106,23.9
36047038200,382,15.3
36047038900,389,16.7
36047043400,434,38.2
36047043500,435,31.4
36047031100,311,25.6
36047031400,314,22.8
36047034100,341,28.8
36047118201,1182.01,22.6
36047035300,353,23.7
36047064600,646,30.4
36047065400,654,39.5
36047095600,956,41
36047096000,960,0
36047098600,986,21.5
36047102600,1026,23.8
36047103400,1034,18.1
36047107000,1070,24.5
36047114201,1142.01,44.6
36047004100,41,13.5
36047005201,52.01,8
36047005601,56.01,19.3
36047005602,56.02,32.4
36047005800,58,33.2
36047005900,59,16.3
36047006400,64,20.6
36047009400,94,31.1
36047010400,104,27.3
36047013000,130,31.9
36047013200,132,44.6
36047020600,206,22.6
36047021000,210,35.1
36047022200,222,56.3
36047022700,227,17.5
36047023000,230,42.2
36047024800,248,36.3
36047025200,252,29.4
36047025700,257,27.5
36047026200,262,28
36047026700,267,24.5
36047051100,511,28.8
36047051500,515,13
36047052700,527,26.9
36047052900,529,47.5
36047054700,547,34.3
36047055600,556,35
36047056400,564,10.6
36047057000,570,39.1
36047057900,579,28.3
36047058400,584,37.5
36047058600,586,27
36047000200,2,42.4
36047000700,7,14.4
36081023800,238,30.5
36081019800,198,46.7
36081021600,216,26.5
36081021900,219,0
36081024000,240,32.4
36081024600,246,0
36081024700,247,25.8
36081025700,257,19.9
36081026000,260,29.2
36081026100,261,28.3
36081027900,279,40.3
36081028000,280,3.4
36081028700,287,32.4
36081032900,329,64.9
36081035300,353,38.4
36081037500,375,26
36081044800,448,38.6
36081045500,455,28.9
36081047500,475,29.5
36081048900,489,7.5
36081050700,507,22.7
36081052800,528,38.9
36081053500,535,31.4
36081090700,907,33.9
36081091602,916.02,0
36081091900,919,25.7
36081094700,947,38.7
36081099200,992,32.1
36081101001,1010.01,28.2
36061009200,92,19.5
36061010400,104,24.8
36061011900,119,21.2
36061013200,132,13.1
36061013400,134,24.5
36061013600,136,9.8
36061014402,144.02,27.8
36061014801,148.01,22.6
36061015700,157,13.7
36061015801,158.01,12.6
36061016100,161,20.5
36061016400,164,19.2
36061019600,196,27.3
36061018000,180,21.4
36061018500,185,19.6
36061019000,190,16.3
36061022400,224,23.1
36061019300,193,25.4
36061019400,194,16.5
36061021200,212,27.4
36061023200,232,22.8
36061023900,239,24.3
36061024100,241,24.8
36061029300,293,28.5
36061029700,297,0
36061019702,197.02,23.8
36081072900,729,5.3
36081070700,707,6.8
36081070900,709,10.2
36081077500,775,26.5
36081079200,792,9.1
36081079300,793,0
36081080301,803.01,24.2
36081086100,861,47.1
36081086400,864,28.3
36081092800,928,24.4
36081093900,939,30.4
36081094500,945,40
36081098700,987,47
36081099900,999,0
36081111300,1113,40.4
36081114100,1141,36.8
36081115500,1155,27.8
36081115700,1157,43.7
36081118500,1185,35.5
36081118700,1187,41.8
36081119500,1195,28.2
36081122701,1227.01,19.2
36081128300,1283,0
36081138501,1385.01,31.3
36081142900,1429,31.7
36081143500,1435,17.4
36081145101,1451.01,17.2
36081146700,1467,15.4
36081027600,276,40.9
36081028200,282,27.1
36081028300,283,29.9
36081028500,285,40.4
36081028900,289,25
36081113300,1133,41.3
36081107201,1072.01,41.3
36081010300,103,30.1
36081011900,119,20.5
36081013500,135,20.6
36081016100,161,25.2
36081013600,136,23
36081014100,141,22.3
36081014500,145,24.5
36081016300,163,10.5
36081018000,180,23.5
36081020600,206,10.5
36081023200,232,27.2
36081012601,126.01,13.7
36081013200,132,23.2
36047064200,642,26.1
36047068000,680,27.6
36047072400,724,14.5
36047072800,728,31.2
36047075000,750,33.1
36047076000,760,21.1
36047081600,816,34.1
36047082800,828,31
36047083200,832,22.6
36047085000,850,35.5
36047037100,371,23
36047037900,379,40.7
36047041200,412,28.2
36047041300,413,32.8
36047041402,414.02,31.2
36047041700,417,30.4
36047042200,422,32.6
36047042700,427,33.9
36047043600,436,35.9
36047044300,443,32.5
36047044600,446,32.4
36081107202,1072.02,0
36081115100,1151,31.4
36081120100,1201,18.8
36081120300,1203,5.1
36081121100,1211,0
36081121500,1215,50.2
36081124700,1247,15.6
36081136700,1367,30.8
36081138502,1385.02,0
36081147100,1471,27.5
36081152902,1529.02,7.9
36081161700,1617,33.7
36081026500,265,27.1
36081027500,275,20.2
36085002900,29,41.8
36085005900,59,22.6
36085007500,75,35.6
36085009700,97,19.8
36085011402,114.02,25.7
36085012100,121,32.5
36085002002,20.02,20.8
36085003600,36,21.5
36085011202,112.02,39.7
36085029103,291.03,18.7
36085001100,11,37.2
36081103202,1032.02,33.7
36081117500,1175,31.2
36081015200,152,29.9
36081016400,164,31.4
36081011500,115,20.7
36081015100,151,27.5
36081017800,178,23.7
36081020200,202,36.2
36081020400,204,22.8
36047060800,608,29.1
36047005400,54,23.8
36047006200,62,27.2
36047024300,243,13.5
36047006500,65,11.7
36047001100,11,10.7
36047003500,35,25
36047025902,259.02,10.7
36047027000,270,30.5
36047027300,273,18.9
36047063200,632,34.5
36047064400,644,24.5
36047065800,658,10.2
36047066000,660,27.8
36047067000,670,22.8
36047069000,690,22.4
36047069200,692,10.3
36081049900,499,23.2
36081046000,460,35.7
36081047900,479,38.4
36081050600,506,49
36081051100,511,18.1
36081051700,517,29.3
36081052200,522,0
36081053000,530,6.4
36081053900,539,20.6
36081054500,545,21.4
36081060100,601,23.5
36081061200,612,0
36081063000,630,26.5
36081063700,637,17
36081064600,646,32.5
36081065000,650,15.3
36081071100,711,17.8
36081076901,769.01,23.9
36081077905,779.05,32.4
36081080302,803.02,26.3
36081084500,845,40.5
36005007900,79,25
36005016700,167,27.8
36005022401,224.01,30.2
36005002800,28,11.8
36005015800,158,45.4
36047112000,1120,28.1
36047027400,274,33.8
36047027500,275,20.9
36047028700,287,35.9
36047102400,1024,21.1
36047098800,988,28.3
36047099200,992,36.4
36047101000,1010,22.9
36047112400,1124,44.5
36047112800,1128,37
36047023500,235,41.2
36047024000,240,45.1
36047024100,241,34.9
36047025000,250,25.7
36047025400,254,31
36047025800,258,41.7
36047025901,259.01,37.7
36047026000,260,34.8
36047053800,538,38.3
36047052500,525,28.9
36047052600,526,26.6
36047053500,535,52.5
36047054900,549,23.2
36047055200,552,30.8
36047059100,591,20.8
36047001800,18,0
36047002300,23,20.3
36047002901,29.01,11.6
36047003400,34,33.5
36047003800,38,30.8
36047004500,45,16.6
36047005202,52.02,27.7
36047006300,63,9.8
36047006800,68,32.8
36047007100,71,12.7
36047007700,77,15.8
36047049200,492,39.8
36047050202,502.02,18.3
36047050300,503,12.6
36047051900,519,18.8
36047053000,530,46.4
36047057200,572,14.5
36047055500,555,16.5
36047055700,557,21.6
36047056900,569,24.7
36047057300,573,19.9
36047057500,575,30.1
36047113000,1130,31.2
36047113200,1132,37.6
36047117202,1172.02,15.5
36047118400,1184,29.6
36047118600,1186,40.4
36047118800,1188,26.2
36047119400,1194,32.5
36047120800,1208,34.1
36047121400,1214,19.7
36047017200,172,21
36047017500,175,0
36047018200,182,32.4
36047018800,188,35.9
36047021600,216,45.6
36047022600,226,43.5
36047023200,232,50.6
36047023800,238,55.8
36047054800,548,49
36047037500,375,33.5
36047084600,846,36.2
36047090200,902,38.2
36047090600,906,40.7
36047016000,160,24.8
36047018000,180,30.2
36047020300,203,21.7
36047020500,205,19.9
36047021400,214,32.4
36047021700,217,19.2
36047024200,242,35.9
36047024400,244,46.7
36047026100,261,33.7
36047027700,277,30.4
36047028200,282,29.3
36047028800,288,27.8
36047029000,290,30.4
36047030200,302,22.9
36047030800,308,23.7
36047020000,200,25.4
36047017600,176,30.1
36047021800,218,72
36047018501,185.01,19.1
36047020200,202,38.2
36047020800,208,40.8
36047022900,229,29.3
36047023300,233,22.2
36047024500,245,16.4
36047058200,582,24.8
36047059800,598,27
36061019800,198,26.4
36061010900,109,9.4
36061007500,75,20.2
36061008300,83,24.4
36061009700,97,14.1
36061010601,106.01,35.7
36061012600,126,14.9
36061011300,113,17.9
36061012100,121,24.6
36061012200,122,31.6
36061012900,129,20.3
36061013700,137,14.2
36061013800,138,18
36061015200,152,21.2
36047025100,251,20.6
36047025500,255,16.9
36047026400,264,30.3
36047026900,269,36.7
36047028100,281,25
36047028400,284,30.4
36047029300,293,24.8
36047030300,303,33.2
36047031500,315,26.9
36081084601,846.01,25.4
36081092900,929,42.4
36081093800,938,26.7
36081085500,855,36.7
36081017400,174,30.2
36081083700,837,33.4
36081085700,857,34.2
36081086300,863,40.5
36081087100,871,26.9
36081091601,916.01,0
36081094201,942.01,26.1
36081103300,1033,18.3
36081010200,102,42.6
36081011300,113,19.8
36081011400,114,30.6
36081012602,126.02,26.2
36081012800,128,34.6
36081013000,130,30.3
36081014400,144,45.6
36081014800,148,35.8
36081017600,176,28.1
36081017900,179,34
36081018402,184.02,23.9
36081019600,196,31.7
36081022900,229,100
36081023000,230,25.7
36081102900,1029,26.6
36081099701,997.01,13.8
36081140300,1403,33.1
36081119100,1191,39.4
36081119300,1193,31.2
36081129102,1291.02,0
36061010100,101,23.7
36061012700,127,28.1
36061013100,131,19.8
36061013300,133,24.1
36061014200,142,17.6
36061014900,149,18.3
36061015001,150.01,13.8
36061015002,150.02,3.7
36061015400,154,13.7
36061016300,163,19.7
36061019200,192,19.2
36061019500,195,25.7
36061019900,199,37.6
36061020500,205,19.8
36061023000,230,19.5
36061023501,235.01,23.8
36005021800,218,29.9
36005033800,338,48.1
36005036502,365.02,40
36047007000,70,35.5
36047010600,106,25.1
36085007700,77,35
36085017010,170.1,28.4
36085031901,319.01,56.8
36085001700,17,60.9
36085013301,133.01,37.6
36047010800,108,29.8
36047012100,121,23.1
36047012902,129.02,16.6
36047013700,137,18.6
36047014300,143,21.6
36047015100,151,12.7
36047015400,154,0
36047015700,157,11.1
36047016500,165,11.6
36047017800,178,31.4
36047017900,179,21.9
36047019100,191,22.3
36047036200,362,48.5
36047036600,366,37.8
36047035900,359,29.1
36047036001,360.01,32
36047036100,361,21.4
36047036300,363,39.9
36081022001,220.01,17.1
36081024300,243,23.9
36081027000,270,52.2
36081027800,278,21
36081028100,281,28.4
36081033401,334.01,27.1
36081034700,347,30.1
36081037600,376,38
36081039900,399,21.7
36081040400,404,27.7
36081043900,439,53.5
36081045600,456,26.9
36081045800,458,25.9
36081046700,467,35.1
36081047800,478,20
36081049500,495,15.2
36081051200,512,31.5
36047050500,505,22.1
36047046800,468,52.5
36047048400,484,41.6
36047049500,495,18.5
36047053700,537,48.3
36047054300,543,22.4
36047055800,558,30
36047062800,628,59.8
36047056500,565,22.8
36047056800,568,31.7
36047061002,610.02,39.2
36005007200,72,43.8
36005012101,121.01,45.5
36005012102,121.02,26.8
36005012300,123,31.2
36005013300,133,20.4
36005014300,143,31.4
36005014400,144,17.3
36005021301,213.01,44.5
36005014500,145,30.3
36005016600,166,49.8
36005019400,194,28.4
36005022901,229.01,39.7
36005013200,132,16.8
36005020100,201,28.1
36005008900,89,23.2
36005009800,98,30.8
36005012500,125,45.7
36005014900,149,37.5
36005019700,197,43.7
36005022000,220,30.5
36005022702,227.02,45.9
36005023100,231,42.3
36005023501,235.01,47.1
36005001600,16,25.2
36005002400,24,11.6
36005003100,31,30.1
36005003800,38,23.6
36005004100,41,26.8
36005011900,119,30.2
36005011502,115.02,38.9
36005014100,141,28.5
36005015100,151,32.4
36005015300,153,46
36005015500,155,31.7
36005023600,236,36.9
36005024300,243,38.4
36005004400,44,16.2
36005004800,48,34.4
36005005902,59.02,56.1
36005008300,83,42.1
36005008400,84,44.5
36005016300,163,0
36005016900,169,51.1
36005017300,173,26.6
36005024600,246,16.9
36005024900,249,0
36005025000,250,30.8
36005025200,252,32.2
36005025700,257,39.3
36005027700,277,40.9
36005028500,285,25.2
36005028600,286,18.9
36005019900,199,36.4
36005028900,289,22
36005031200,312,10.4
36005018900,189,31.5
36005020200,202,33.3
36005020601,206.01,18.6
36005021100,211,38.9
36005021200,212,16.8
36005021601,216.01,54.2
36005025600,256,28.8
36005022703,227.03,34
36005023702,237.02,42.2
36005024000,240,44.4
36005026300,263,43
36005026500,265,30.8
36005028100,281,26.8
36005028300,283,31.1
36005031400,314,25.7
36005032800,328,30.6
36005037400,374,29.4
36005038200,382,40.9
36005038600,386,32.5
36005000400,4,35.3
36005000200,2,39.6
36005003500,35,28.9
36005004001,40.01,31.2
36005004300,43,29.8
36005005200,52,32.4
36081113900,1139,25.6
36081114700,1147,11.6
36081073100,731,22.5
36081074700,747,22.9
36081077300,773,29.4
36081078800,788,45.9
36081081400,814,47.1
36081088400,884,14
36081092200,922,36.7
36081096400,964,31.7
36081000800,8,22.3
36081097202,972.02,39.2
36081097300,973,36.4
36081101700,1017,23.7
36081001400,14,17.8
36081001600,16,24.2
36081001900,19,13.5
36081002600,26,52.9
36081002800,28,25.8
36047059200,592,25.4
36047063600,636,82.4
36047064800,648,37.3
36047065200,652,17
36047066200,662,12.6
36047067600,676,17.4
36047069800,698,38.1
36047072000,720,24.7
36047073600,736,32.3
36047074200,742,22.1
36047074600,746,21.5
36047076600,766,31.2
36047077000,770,33.1
36047078000,780,33.9
36047078400,784,32
36047114202,1142.02,33.4
36047117601,1176.01,28.4
36047045300,453,36.5
36047049900,499,19.4
36047048800,488,21.4
36047049100,491,31.8
36047049600,496,32.8
36047050400,504,25.8
36047053300,533,58.6
36047055300,553,22
36047056300,563,21.8
36047059401,594.01,29
36047060000,600,26.4
36047060600,606,31.1
36047067400,674,44.8
36047068600,686,37.2
36047032100,321,31.7
36047032800,328,30.4
36047035100,351,38.7
36047073200,732,37.5
36047074000,740,23.5
36047074800,748,31.8
36047075400,754,0
36047076200,762,35.1
36047081800,818,24.5
36047082200,822,40.1
36047083000,830,24.9
36047083400,834,16.1
36081004001,40.01,34.6
36081005400,54,22.1
36081005800,58,35.2
36081006300,63,17.3
36081008800,88,23.9
36081009700,97,15.7
